"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Visualization Approach for Adaptive Consent in the European Data Protection Framework","A. Rossi; M. Palmirani","CIRSFID, Alma Mater Studiorum University of Bologna, Bologna, Italy; CIRSFID, Alma Mater Studiorum University of Bologna, Bologna, Italy",2017 Conference for E-Democracy and Open Government (CeDEM),"21 Sep 2017","2017","","","159","170","For the first time in the history of European data protection law, the use of visualizations and especially of icons is explicitly suggested as a way to improve the comprehensibility of the information about data handling practices provided to the data subjects, which plays a crucial role to obtain informed consent. Privacy icon sets have already been developed, but they differ in the kinds of information they depict and in the perspectives they embed. Moreover, they have not met widespread adoption, one reasons being that research has shown that possibility of misinterpretation of these symbols. Our research relies on legal Semantic Web technologies and principles drawn from legal design and Human Computer Interaction to propose visualizations of privacy policies and consent forms. The final aim is to enhance the communication of data practices to users and to support their decision about whether to give or withhold consent.","","978-1-5090-6719-0","10.1109/CeDEM.2017.23","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8046282","Privacy;privacy policies;data protection;visualization;icons;GDPR;transparency;informed consent;usability;legal design","Law;Data visualization;Visualization;Data protection;Privacy","","16","","55","IEEE","21 Sep 2017","","","IEEE","IEEE Conferences"
"Interactive Grouping of Friends in OSN: Towards Online Context Management","B. Gao; B. Berendt; D. Clarke; R. De Wolf; T. Peetz; J. Pierson; R. Sayaf","Department of Computer Science, Katholieke Universiteit Leuven; Department of Computer Science, Katholieke Universiteit Leuven; Katholieke Universiteit Leuven, Leuven, Flanders, BE; SMIT - Studies on Media Information and Telecommunication, Vrije Universiteit Brussel; Department of Computer Science, Katholieke Universiteit Leuven; Vrije Universiteit Brussel, Brussel, Brussel, BE; Katholieke Universiteit Leuven, Leuven, Flanders, BE",2012 IEEE 12th International Conference on Data Mining Workshops,"10 Jan 2013","2012","","","555","562","In Online Social Networks (OSNs), it can be difficult to maintain the context of a conversation or action, i.e. to know what the situation is and how to act appropriately. The resulting uncertainties may lead to privacy issues. We focus on one issue Context Collision in this paper, and motivate that a first step to address this issue is to help users distinguish groups of contacts within their OSN accounts. We conducted a small user study to investigate the criteria of users grouping the people they know. We summarized our participants' strategy of labeling the groups and found that they perform the grouping mainly by their connections with others. We used these results in the design of FreeBu, a semi-automatic and interactive grouping tool, which is based on mining friend graph data for community detection and profile information for labeling.","2375-9259","978-1-4673-5164-5","10.1109/ICDMW.2012.88","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6406401","online social networks;privacy;transparency tool;context;visualization","Context;Communities;Facebook;Educational institutions;Privacy;Labeling","","10","","28","IEEE","10 Jan 2013","","","IEEE","IEEE Conferences"
"A Comparison of Rendering Techniques for 3D Line Sets With Transparency","M. Kern; C. Neuhauser; T. Maack; M. Han; W. Usher; R. Westermann","Computer Graphics & Visualization Group, Technische Universität München, Garching bei MÜnchen, Germany; Computer Graphics & Visualization Group, Technische Universität München, Garching bei MÜnchen, Germany; Computer Graphics & Visualization Group, Technische Universität München, Garching bei MÜnchen, Germany; Scientific Computing and Imaging Institute, University of Utah, Salt Lake City, UT, USA; Scientific Computing and Imaging Institute, University of Utah, Salt Lake City, UT, USA; Computer Graphics & Visualization Group, Technische Universität München, Garching bei MÜnchen, Germany",IEEE Transactions on Visualization and Computer Graphics,"30 Jun 2021","2021","27","8","3361","3376","This article presents a comprehensive study of rendering techniques for 3D line sets with transparency. The rendering of transparent lines is widely used for visualizing trajectories of tracer particles in flow fields. Transparency is then used to fade out lines deemed unimportant, based on, for instance, geometric properties or attributes defined along with them. Accurate blending of transparent lines requires rendering the lines in back-to-front or front-to-back order, yet enforcing this order for space-filling 3D line sets with extremely high-depth complexity becomes challenging. In this article, we study CPU and GPU rendering techniques for transparent 3D line sets. We compare accurate and approximate techniques using optimized implementations and several benchmark data sets. We discuss the effects of data size and transparency on quality, performance, and memory consumption. Based on our study, we propose two improvements to per-pixel fragment lists and multi-layer alpha blending. The first improves the rendering speed via an improved GPU sorting operation, and the second improves rendering quality via transparency-based bucketing.","1941-0506","","10.1109/TVCG.2020.2975795","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9007507","Scientific visualization;line rendering;order-independent transparency","Rendering (computer graphics);Ray tracing;Three-dimensional displays;Graphics processing units;Complexity theory;Acceleration;Image color analysis","","10","","44","IEEE","24 Feb 2020","","","IEEE","IEEE Journals"
"A Visualization Interface to Improve the Transparency of Collected Personal Data on the Internet","M. Schufrin; S. L. Reynolds; A. Kuijper; J. Kohlhammer","Fraunhofer IGD, Darmstadt, TU, Germany; Fraunhofer IGD, Darmstadt, TU, Germany; Fraunhofer IGD, Darmstadt, TU, Germany; Fraunhofer IGD, Darmstadt, TU, Germany",IEEE Transactions on Visualization and Computer Graphics,"28 Jan 2021","2021","27","2","1840","1849","Online services are used for all kinds of activities, like news, entertainment, publishing content or connecting with others. But information technology enables new threats to privacy by means of global mass surveillance, vast databases and fast distribution networks. Current news are full of misuses and data leakages. In most cases, users are powerless in such situations and develop an attitude of neglect for their online behaviour. On the other hand, the GDPR (General Data Protection Regulation) gives users the right to request a copy of all their personal data stored by a particular service, but the received data is hard to understand or analyze by the common internet user. This paper presents TransparencyVis - a web-based interface to support the visual and interactive exploration of data exports from different online services. With this approach, we aim at increasing the awareness of personal data stored by such online services and the effects of online behaviour. This design study provides an online accessible prototype and a best practice to unify data exports from different sources.","1941-0506","","10.1109/TVCG.2020.3028946","German Federal Ministry of Education and Research; Hessen State Ministry for Higher Education, Research; National Research Center for Applied Cybersecurity ATHENE; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9246571","Information visualization;usable privacy;privacy awareness;transparency-enhancing technologies;user-centered design","Data visualization;Tools;Data privacy;Privacy;Internet;Data collection;Social networking (online)","","10","","59","IEEE","2 Nov 2020","","","IEEE","IEEE Journals"
"Advanced Rendering of Line Data with Ambient Occlusion and Transparency","D. Groß; S. Gumhold","Chair of Computer Graphics & Visualization, TU-Dresden, Dresden, Germany; Chair of Computer Graphics & Visualization, TU-Dresden, Dresden, Germany",IEEE Transactions on Visualization and Computer Graphics,"28 Jan 2021","2021","27","2","614","624","3D Lines are a widespread rendering primitive for the visualization of data from research fields like fluid dynamics or fiber tractography. Global illumination effects and transparent rendering improve the perception of three-dimensional features and decrease occlusion within the data set, thus enabling better understanding of complex line data. We present an efficient approach for high quality GPU-based rendering of line data with ambient occlusion and transparency effects. Our approach builds on GPU-based raycasting of rounded cones, which are geometric primitives similar to truncated cones, but with spherical endcaps. Object space ambient occlusion is provided by an efficient voxel cone tracing approach. Our core contribution is a new fragment visibility sorting strategy that allows for interactive visualization of line data sets with millions of line segments. We improve performance further by exploiting hierarchical opacity maps.","1941-0506","","10.1109/TVCG.2020.3028954","DFG though TRR 248(grant numbers:389792660); Clusters of Excellence CeTI (EXC2050/1)(grant numbers:390696704); PoL (EXC2068)(grant numbers:390729961); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9216549","Scientific visualization;ray-casting;line rendering;transparency","Rendering (computer graphics);Geometry;Lighting;Data visualization;Electron tubes;Casting;Graphics processing units","","4","","48","IEEE","7 Oct 2020","","","IEEE","IEEE Journals"
"Memory-Hazard-Aware K-Buffer Algorithm for Order-Independent Transparency Rendering","N. Zhang","Environmental Modeling and Visualization Laboratory, Lockheed Martin Co, Chapel Hill, NC",IEEE Transactions on Visualization and Computer Graphics,"16 Dec 2013","2014","20","2","238","248","The $(k)$-buffer algorithm is an efficient GPU-based fragment level sorting algorithm for rendering transparent surfaces. Because of the inherent massive parallelism of GPU stream processors, this algorithm suffers serious read-after-write memory hazards now. In this paper, we introduce an improved $(k)$-buffer algorithm with error correction coding to combat memory hazards. Our algorithm results in significantly reduced artifacts. While preserving all the merits of the original algorithm, it requires merely OpenGL 3.x support from the GPU, instead of the atomic operations appearing only in the latest OpenGL 4.2 standard. Our algorithm is simple to implement and efficient in performance. Future GPU support for improving this algorithm is also proposed.","1941-0506","","10.1109/TVCG.2013.72","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6494571","volume visualization;Transparency rendering;visibility sort;memory hazard;error checking code;graphics processor","Rendering (computer graphics);Volume measurements;Error analysis;Computer graphics","","4","","16","IEEE","5 Apr 2013","","","IEEE","IEEE Journals"
"The Ghosting Technique Applied to Augmented Reality Visualization","A. Padilha; C. Rolim; V. Teichrieb","Voxar Labs Centro de Informática-UFPE, Recife, Brasil; Voxar Labs Centro de Informática-UFPE, Recife, Brasil; Voxar Labs Centro de Informática-UFPE, Recife, Brasil",2013 XV Symposium on Virtual and Augmented Reality,"7 Nov 2013","2013","","","159","166","Functional realism focuses on delivering to the user the best visual information from the target scene. The virtual scenes/objects do not need to behave or look like the real ones, but they need to help users in tasks execution. In this sense, this paper focuses on functional realism applied to Augmented Reality scenes. The technique presented here applies a visualization technique called Ghosting to generate an importance map from the real scene in order to blend in the virtual objects in a more adequate way. A careless augmentation can prejudice the user Augmented Reality based experience. The importance map is built from a saliency map, edge detection, super pixel representation and texture analysis. We present results in outdoor and indoor environments in order to prove the technique effectiveness.","","978-0-7695-5001-5","10.1109/SVR.2013.36","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6655774","Augmented Reality;Ghosting Technique;Visualization;Transparency;Saliency Map","Visualization;Image segmentation;Augmented reality;Pipelines;Art;Abstracts;Image edge detection","","4","","22","IEEE","7 Nov 2013","","","IEEE","IEEE Conferences"
"A Visualization Interface to Improve the Transparency of Collected Personal Data on the Internet","M. Schufrin; S. L. Reynolds; A. Kuijper; J. Kohlhammer","Fraunhofer IGD, Germany; Fraunhofer IGD, Germany; Fraunhofer IGD, TU Darmstadt, Germany; Fraunhofer IGD, TU Darmstadt, Germany",2020 IEEE Symposium on Visualization for Cyber Security (VizSec),"9 Feb 2021","2020","","","1","10","Online services are used for all kinds of activities, like news, entertainment, publishing content or connecting with others. But information technology enables new threats to privacy by means of global mass surveillance, vast databases and fast distribution networks. Current news are full of misuses and data leakages. In most cases, users are powerless in such situations and develop an attitude of neglect for their online behaviour. On the other hand, the GDPR (General Data Protection Regulation) gives users the right to request a copy of all their personal data stored by a particular service, but the received data is hard to understand or analyze by the common internet user. This paper presents TransparencyVis - a web-based interface to support the visual and interactive exploration of data exports from different online services. With this approach, we aim at increasing the awareness of personal data stored by such online services and the effects of online behaviour. This design study provides an online accessible prototype and a best practice to unify data exports from different sources.","2639-4332","978-1-7281-8262-9","10.1109/VizSec51108.2020.00007","Ministry of Education; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9347416","Information visualization;usable privacy;privacy awareness;transparency-enhancing technologies;user-centered design","Visualization;Publishing;Surveillance;Data visualization;Prototypes;Internet;General Data Protection Regulation","","3","","59","IEEE","9 Feb 2021","","","IEEE","IEEE Conferences"
"Visualization of processes in self-learning systems","G. Peters; K. Bunte; M. Strickert; M. Biehl; T. Villmann","Human-Computer Interaction, FernUniversität in Hagen, Germany; CITEC-Cognitive Interaction Technology Center of Excellence, Bielefeld University, Germany; Department of Computer Science and Mathematics, University of Marburg, Germany; Johann Bernoulli Inst. for Mathematics & Computer Science, University of Groningen, The Netherlands; Computational Intelligence Group, University of Applied Sciences Mittweida, Germany","2012 Tenth Annual International Conference on Privacy, Security and Trust","13 Sep 2012","2012","","","244","249","One aspect of self-organizing systems is their desired ability to be self-learning, i.e., to be able to adapt dynamically to conditions in their environment. This quality is awkward especially if it comes to applications in security or safety-sensitive areas. Here a step towards more trustful systems could be taken by providing transparency of the processes of a system. An important means of giving feedback to an operator is the visualization of the internal processes of a system. In this position paper we address the problem of visualizing dynamic processes especially in self-learning systems. We take an existing self-learning system from the field of computer vision as an example from which we derive questions of general interest such as possible options to visualize the flow of information in a dynamic learning system or the visualization of symbolic data. As a side effect the visualization of learning processes may provide a better understanding of underlying principles of learning in general, i.e, also in biological systems. That may also facilitate improved designs of future self-learning systems.","","978-1-4673-2326-0","10.1109/PST.2012.6297953","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6297953","Visualization of dynamic processes;transparency and controllability of self-organization processes;self-learning systems;symbolic representations","Visualization;Data visualization;Learning systems;Shape;Electronic mail;Machine learning;Security","","2","","21","IEEE","13 Sep 2012","","","IEEE","IEEE Conferences"
"On visualizing threat evaluation configuration processes: A design proposal","M. Riveiro; M. Lebram; H. Warston","Informatics Research Centre, University of Skövde, Sweden; Informatics Research Centre, University of Skövde, Sweden; Saab AB, Saab Electronic Defence Systems, Gothenburg, Sweden",17th International Conference on Information Fusion (FUSION),"7 Oct 2014","2014","","","1","8","Threat evaluation is concerned with estimating the intent, capability and opportunity of detected objects in relation to our own assets in an area of interest. To infer whether a target is threatening and to which degree is far from a trivial task. Expert operators have normally to their aid different support systems that analyze the incoming data and provide recommendations for actions. Since the ultimate responsibility lies in the operators, it is crucial that they trust and know how to configure and use these systems, as well as have a good understanding of their inner workings, strengths and limitations. To limit the negative effects of inadequate cooperation between the operators and their support systems, this paper presents a design proposal that aims at making the threat evaluation process more transparent. We focus on the initialization, configuration and preparation phases of the threat evaluation process, supporting the user in the analysis of the behavior of the system considering the relevant parameters involved in the threat estimations. For doing so, we follow a known design process model and we implement our suggestions in a proof-of-concept prototype that we evaluate with military expert system designers.","","978-8-4901-2355-3","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6916152","threat evaluation;transparency;visualization;design;high-level information fusion;decision-making","Prototypes;Weapons;Proposals;Guidelines;Human computer interaction;Estimation;Data models","","","","33","","7 Oct 2014","","","IEEE","IEEE Conferences"
"Multidimensional Data Visualization for Investigation of Skin Transparency","A. Tochigi; T. Itoh","Grad. School of Humanities and Sciences, Ochanomizu University, Tokyo, Japan; Grad. School of Humanities and Sciences, Ochanomizu University, Tokyo, Japan",2021 25th International Conference Information Visualisation (IV),"28 Oct 2021","2021","","","7","12","“Skin Transparency” is an important keyword for women of all generations as one of the conditions for beautiful skin. Although, no one has clear definitions of “Skin Transparency”. As it stands, beauty experts are often invited to use visual methods in conducting skin transparency evaluation; however, it has not been still sufficiently clarified which visual properties are related to skin transparency. In this study, we aim to discover the relations between skin image features and sensory evaluations applying real human skin images. Specifically, we investigate “Skin Transparency” by comparing them using the Parallel Coordinate Plots. We observed their complex distributions by the visualization task.","2375-0138","978-1-6654-3827-8","10.1109/IV53921.2021.00012","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9582719","Human Skin;Transparency;Sensory Evaluation;Image Analysis;Multidimensional Data Visualization","Visualization;Data visualization;Skin;Task analysis","","","","11","IEEE","28 Oct 2021","","","IEEE","IEEE Conferences"
"Visualizing compiled executables for malware analysis","D. A. Quist; L. M. Liebrock","Los Alamos National Laboratory, New Mexico Technology, USA; New Mexico Technology, USA",2009 6th International Workshop on Visualization for Cyber Security,"8 Jan 2010","2009","","","27","32","Reverse engineering compiled executables is a task with a steep learning curve. It is complicated by the task of translating assembly into a series of abstractions that represent the overall flow of a program. Most of the steps involve finding interesting areas of an executable and determining their overall functionality. This paper presents a method using dynamic analysis of program execution to visually represent the overall flow of a program. We use the Ether hypervisor framework to covertly monitor a program. The data is processed and presented for the reverse engineer. Using this method the amount of time needed to extract key features of an executable is greatly reduced, improving productivity. A preliminary user study indicates that the tool is useful for both new and experienced users.","","978-1-4244-5413-6","10.1109/VIZSEC.2009.5375539","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5375539","Reverse Engineering;Visualization;Dynamic Analysis;K.6.1 [Management of Computing and Information Systems]: Project and People Management-Life Cycle;K.7.m [The Computing Profession]: Miscellaneous-Ethics","Reverse engineering;Data visualization;Assembly;Monitoring;Productivity;Project management;Engineering management;Electronic mail;Laboratories;Virtual machine monitors","","44","1","23","IEEE","8 Jan 2010","","","IEEE","IEEE Conferences"
"Eleven Years of Gender Data Visualization: A Step Towards More Inclusive Gender Representation","F. Cabric; M. V. Bjarnadóttir; M. Ling; G. L. Rafnsdóttir; P. Isenberg","Université Paris-Saclay, CNRS, Inria, LISN, France; Robert H. Smith School of Business, University of Maryland, College Park, USA; Ohio State University, USA; Faculty of Social and Human Science, University of Iceland, Reykjavik, Iceland; Université Paris-Saclay, CNRS, Inria, LISN, France",IEEE Transactions on Visualization and Computer Graphics,"25 Dec 2023","2024","30","1","316","326","We present an analysis of the representation of gender as a data dimension in data visualizations and propose a set of considerations around visual variables and annotations for gender-related data. Gender is a common demographic dimension of data collected from study or survey participants, passengers, or customers, as well as across academic studies, especially in certain disciplines like sociology. Our work contributes to multiple ongoing discussions on the ethical implications of data visualizations. By choosing specific data, visual variables, and text labels, visualization designers may, inadvertently or not, perpetuate stereotypes and biases. Here, our goal is to start an evolving discussion on how to represent data on gender in data visualizations and raise awareness of the subtleties of choosing visual variables and words in gender visualizations. In order to ground this discussion, we collected and coded gender visualizations and their captions from five different scientific communities (Biology, Politics, Social Studies, Visualisation, and Human-Computer Interaction), in addition to images from Tableau Public and the Information Is Beautiful awards showcase. Overall we found that representation types are community-specific, color hue is the dominant visual channel for gender data, and nonconforming gender is under-represented. We end our paper with a discussion of considerations for gender visualization derived from our coding and the literature and recommendations for large data collection bodies. A free copy of this paper and all supplemental materials are available at https://osf.io/v9ams/.","1941-0506","","10.1109/TVCG.2023.3327369","Inria; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10304299","Visualization;gender;visual gender representation;ethics","Data visualization;Visualization;Surveys;Image color analysis;Behavioral sciences;Ethics;Biology","Humans;Data Visualization;Computer Graphics;Surveys and Questionnaires","","","84","IEEE","1 Nov 2023","","","IEEE","IEEE Journals"
"EnsembleCAM: Unified Visualization for Explainable Cervical Cancer Identification","N. Sritharan; N. Gnanavel; P. Inparaj; D. Meedeniya; P. Yogarajah","Department of Computer Science and Engineering, University of Moratuwa, Moratuwa, Sri Lanka; Department of Computer Science and Engineering, University of Moratuwa, Moratuwa, Sri Lanka; Department of Computer Science and Engineering, University of Moratuwa, Moratuwa, Sri Lanka; Department of Computer Science and Engineering, University of Moratuwa, Moratuwa, Sri Lanka; School of Computing, Engineering and Intelligent Systems, Ulster University, Londonderry, United Kingdom",2024 International Research Conference on Smart Computing and Systems Engineering (SCSE),"11 Jun 2024","2024","7","","1","6","Cervical cancer, which is ranked fourth among cancers affecting women, is highly treatable when detected early through the pap smear test. Deep Learning (DL) models, particularly Convolutional Neural Networks (CNNs), analyze pap smear images, yet their ""Black-Box"" nature raises transparency concerns in medical diagnostics. This paper introduces a solution named EnsembleCAM to enhance interpretability by unifying visual explanations through the combination of diverse Class Activation Maps (CAMs). Using the Herlev Dataset, we employ data pre-processing, data augmentation techniques, develop an XceptionNet based binary classification model with an accuracy of 89% and apply GradCAM, GradCAM++, Score-CAM, Eigen-CAM and LayerCAM on this classifier. Then, the novel EnsembleCAM is constructed taking the median of activation maps from the five individual CAM methods. The analysis of activation maps of each CAM method and EnsembleCAM confirmed that in activation maps of EnsembleCAM, higher activation values were more concentrated around the nucleus which is the most important region in indicating cervical malignancy. The evaluation using pixel flipping performance metric also proved that the EnsembleCAM effectively recognises regions vital to the model's decision-making through its steepest drop in the mean prediction score when the pixels in the region contributing most to the model's decision were flipped.","2613-8662","979-8-3503-7568-8","10.1109/SCSE61872.2024.10550859","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10550859","class activation maps;ensemble explanations;explainable artificial intelligence;medical image classification;transparent classification visualization","Visualization;Decision making;Closed box;Predictive models;Cams;Reliability;Medical diagnosis","","1","","24","IEEE","11 Jun 2024","","","IEEE","IEEE Conferences"
"BiaScope: Visual Unfairness Diagnosis for Graph Embeddings","A. Rissaki; B. Scarone; D. Liu; A. Pandey; B. Klein; T. Eliassi-Rad; M. A. Borkin","Khoury College of Computer Sciences, Northeastern University; Khoury College of Computer Sciences, Northeastern University; Khoury College of Computer Sciences, Northeastern University; Khoury College of Computer Sciences, Northeastern University; Network Science Institute, Northeastern University; Network Science Institute, Northeastern University; Khoury College of Computer Sciences, Northeastern University",2022 IEEE Visualization in Data Science (VDS),"19 Dec 2022","2022","","","27","36","The issue of bias (i.e., systematic unfairness) in machine learning models has recently attracted the attention of both researchers and practitioners. For the graph mining community in particular, an important goal toward algorithmic fairness is to detect and mitigate bias incorporated into graph embeddings since they are commonly used in human-centered applications, e.g., social-media recommendations. However, simple analytical methods for detecting bias typically involve aggregate statistics which do not reveal the sources of unfairness. Instead, visual methods can provide a holistic fairness characterization of graph embeddings and help uncover the causes of observed bias. In this work, we present BIASCOPE, an interactive visualization tool that supports end-to-end visual unfairness diagnosis for graph embeddings. The tool is the product of a design study in collaboration with domain experts. It allows the user to (i) visually compare two embeddings with respect to fairness, (ii) locate nodes or graph communities that are unfairly embedded, and (iii) understand the source of bias by interactively linking the relevant embedding subspace with the corresponding graph topology. Experts’ feedback confirms that our tool is effective at detecting and diagnosing unfairness. Thus, we envision our tool both as a companion for researchers in designing their algorithms as well as a guide for practitioners who use off-the-shelf graph embeddings.","","978-1-6654-5721-7","10.1109/VDS57266.2022.00008","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9980579","Graph embeddings;network visualization;algorithmic fairness","Visualization;Machine learning algorithms;Systematics;Data visualization;Collaboration;Machine learning;Topology","","","","64","IEEE","19 Dec 2022","","","IEEE","IEEE Conferences"
"A Task-Based Taxonomy of Cognitive Biases for Information Visualization","E. Dimara; S. Franconeri; C. Plaisant; A. Bezerianos; P. Dragicevic","INRIA, Orsay, France; Northwestern University, Evanston, USA; University of Maryland, College Park, USA; University of Paris-Sud; INRIA, Orsay, France",IEEE Transactions on Visualization and Computer Graphics,"31 Dec 2019","2020","26","2","1413","1432","Information visualization designers strive to design data displays that allow for efficient exploration, analysis, and communication of patterns in data, leading to informed decisions. Unfortunately, human judgment and decision making are imperfect and often plagued by cognitive biases. There is limited empirical research documenting how these biases affect visual data analysis activities. Existing taxonomies are organized by cognitive theories that are hard to associate with visualization tasks. Based on a survey of the literature we propose a task-based taxonomy of 154 cognitive biases organized in 7 main categories. We hope the taxonomy will help visualization researchers relate their design to the corresponding possible biases, and lead to new research that detects and addresses biased judgment and decision making in data visualization.","1941-0506","","10.1109/TVCG.2018.2872577","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8476234","Cognitive bias;visualization;taxonomy;classification;decision making","Taxonomy;Data visualization;Task analysis;Decision making;Visualization;Cognition;Systematics","Bias;Cognition;Computer Graphics;Decision Making;Empirical Research;Humans;Photic Stimulation","73","","249","IEEE","28 Sep 2018","","","IEEE","IEEE Journals"
"The Attraction Effect in Information Visualization","E. Dimara; A. Bezerianos; P. Dragicevic","Inria and Université Paris-Saclay; Inria, Université Paris-Saclay; Inria and Université Paris-Saclay",IEEE Transactions on Visualization and Computer Graphics,"17 Nov 2016","2017","23","1","471","480","The attraction effect is a well-studied cognitive bias in decision making research, where one's choice between two alternatives is influenced by the presence of an irrelevant (dominated) third alternative. We examine whether this cognitive bias, so far only tested with three alternatives and simple presentation formats such as numerical tables, text and pictures, also appears in visualizations. Since visualizations can be used to support decision making - e.g., when choosing a house to buy or an employee to hire - a systematic bias could have important implications. In a first crowdsource experiment, we indeed partially replicated the attraction effect with three alternatives presented as a numerical table, and observed similar effects when they were presented as a scatterplot. In a second experiment, we investigated if the effect extends to larger sets of alternatives, where the number of alternatives is too large for numerical tables to be practical. Our findings indicate that the bias persists for larger sets of alternatives presented as scatterplots. We discuss implications for future research on how to further study and possibly alleviate the attraction effect.","1941-0506","","10.1109/TVCG.2016.2598594","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7539348","Information visualization;decision-making;decoy effect;attraction effect;asymmetric dominance effect;cognitive bias","Data visualization;Decision making;Visualization;Education;Uncertainty;Cognition;Companies","","58","","61","IEEE","10 Aug 2016","","","IEEE","IEEE Journals"
"Priming and Anchoring Effects in Visualization","A. C. Valdez; M. Ziefle; M. Sedlmair",RWTH Aachen University; RWTH Aachen University; University of Vienna,IEEE Transactions on Visualization and Computer Graphics,"4 Dec 2017","2018","24","1","584","594","We investigate priming and anchoring effects on perceptual tasks in visualization. Priming or anchoring effects depict the phenomena that a stimulus might influence subsequent human judgments on a perceptual level, or on a cognitive level by providing a frame of reference. Using visual class separability in scatterplots as an example task, we performed a set of five studies to investigate the potential existence of priming and anchoring effects. Our findings show that - under certain circumstances - such effects indeed exist. In other words, humans judge class separability of the same scatterplot differently depending on the scatterplot(s) they have seen before. These findings inform future work on better understanding and more accurately modeling human perception of visual patterns.","1941-0506","","10.1109/TVCG.2017.2744138","German Research Council DFG; FFG(grant numbers:845898); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8022891","Perception;Anchoring;Bias;Scatterplots;Visualization;MTurk Study","Data visualization;Visualization;Visual perception;Correlation;Cognition;Data models;Uncertainty","Bias;Crowdsourcing;Databases, Factual;Humans;Models, Psychological;Psychological Tests;Repetition Priming;Research Design;Visual Perception","51","","66","IEEE","30 Aug 2017","","","IEEE","IEEE Journals"
"The Curse of Knowledge in Visual Data Communication","C. Xiong; L. Van Weelden; S. Franconeri","Northwestern University, Evanston, USA; Utrecht University, Utrecht, Netherlands; Northwestern University, Evanston, USA",IEEE Transactions on Visualization and Computer Graphics,"1 Sep 2020","2020","26","10","3051","3062","A viewer can extract many potential patterns from any set of visualized data values. But that means that two people can see different patterns in the same visualization, potentially leading to miscommunication. Here, we show that when people are primed to see one pattern in the data as visually salient, they believe that naïve viewers will experience the same visual salience. Participants were told one of multiple backstories about political events that affected public polling data, before viewing a graph that depicted those data. One pattern in the data was particularly visually salient to them given the backstory that they heard. They then predicted what naïve viewers would most visually salient on the visualization. They were strongly influenced by their own knowledge, despite explicit instructions to ignore it, predicting that others would find the same patterns to be most visually salient. This result reflects a psychological phenomenon known as the curse of knowledge, where an expert struggles to re-create the state of mind of a novice. The present findings show that the curse of knowledge also plagues the visual perception of data, explaining why people can fail to connect with audiences when they communicate patterns in data.","1941-0506","","10.1109/TVCG.2019.2917689","Northwestern Cognitive Science Fellowship; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8718533","Cognitive biases;data communication;expertise;information visualization;perception and cognition","Data visualization;Visualization;Psychology;Decision making;Data communication;Data mining;Cognition","","43","","47","IEEE","20 May 2019","","","IEEE","IEEE Journals"
